,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
53,21950,27,49866,Petrol,192,1,0,1800,5,1195
54,15500,25,49163,Petrol,110,0,1,1600,5,1165
55,13250,,45725,Petrol,110,1,0,1600,5,1075
56,15250,28,43210,Petrol,97,0,0,1400,5,1110
57,15250,26,43000,Petrol,97,0,0,1400,5,1110
58,18950,23,39704,Petrol,110,1,1,1600,5,1180
59,15999,30,38950,Petrol,110,1,0,1600,5,1130
60,14950,22,37400,,97,1,0,1400,5,1110
61,16500,27,37177,Petrol,110,,0,1600,5,1130
62,18750,31,36544,Petrol,110,1,0,1600,5,1130
63,17950,30,33511,Petrol,110,1,0,1600,5,1130
64,17950,27,??,Petrol,97,1,0,1400,5,1110
65,16950,26,32181,Petrol,110,1,0,1600,5,1075
66,18950,28,30993,Petrol,110,1,0,1600,5,1130
67,14950,22,30400,Petrol,97,1,0,1400,5,1110
68,22250,22,30000,Diesel,110,1,0,2000,5,1275
69,15950,25,29719,Petrol,97,,0,1400,5,1110
70,15950,28,29206,Petrol,97,1,0,1400,5,1110
71,12995,32,29198,Petrol,97,1,0,1400,5,1060
72,18950,28,28817,Petrol,110,1,0,1598,5,1130
73,15750,23,28227,Petrol,97,1,0,1400,5,1110
74,19950,28,28000,Petrol,110,0,0,1600,5,1130
75,16950,23,28000,Petrol,110,1,0,1600,5,1115
76,18750,31,25266,Petrol,110,1,0,1600,5,1130
77,18450,27,23489,Petrol,110,0,0,1600,5,1115
78,16895,29,22575,Petrol,110,1,0,1600,5,1115
79,14900,30,22000,Petrol,97,1,0,1400,5,1110
80,18950,25,20019,Petrol,110,1,1,1600,5,1180
81,17250,29,20000,Petrol,110,1,0,1600,5,1115
82,15450,25,17003,Petrol,97,1,0,1400,5,1110
83,17950,,16238,Petrol,110,1,1,1600,5,1180
84,16650,25,15414,Petrol,97,1,0,1400,5,1110
85,17450,28,8537,Petrol,110,1,0,1600,5,1130
86,14900,30,7000,,97,1,0,1400,5,1100
87,17950,20,66966,Diesel,90,1,0,2000,3,1245
88,15950,19,51884,Petrol,97,1,0,1400,3,1100
89,21950,19,50005,Diesel,110,1,0,2000,3,1265
90,16450,20,48110,Petrol,97,,0,1400,3,1100
91,22250,20,??,Diesel,90,1,0,2000,3,1260
92,19950,,34472,Diesel,90,1,0,1995,3,1260
93,15950,20,33329,Petrol,97,1,0,1400,3,1100
94,18900,20,31850,Petrol,110,0,0,1600,3,1120
95,19950,17,30351,Diesel,90,1,0,1995,3,1260
96,15950,19,29435,Petrol,97,1,0,1400,3,1100
97,15950,19,25948,Petrol,97,1,0,1400,3,1100
98,18750,11,24500,Petrol,110,,0,1600,3,1120
99,17450,18,23902,Petrol,97,1,0,1400,3,1100
100,18990,20,23175,Petrol,110,1,0,1600,3,1120
101,16250,19,19200,Petrol,97,1,0,1400,3,1100
102,18500,13,18000,Petrol,71,0,0,1400,3,1125
103,18500,11,16123,Petrol,110,1,0,1600,3,1105
104,19450,11,14635,Petrol,110,1,1,1600,3,1155
105,16950,,13748,Petrol,97,1,0,1400,3,1100
106,18800,14,11500,Petrol,110,1,0,1600,3,1045
107,17450,17,10000,,97,1,0,1400,3,1100
108,17950,20,7187,Petrol,110,1,0,1600,3,1105
109,32500,,1,,116,0,0,2000,5,1480
110,31000,4,4000,Diesel,116,1,0,2000,5,1480
111,31275,4,1500,Diesel,116,1,0,2000,5,1480
112,24950,8,??,Diesel,116,1,0,2000,5,1320
113,24950,8,13253,Diesel,116,1,0,2000,5,1320
114,22950,7,10000,Diesel,116,1,0,2000,5,1270
115,24990,8,6000,Diesel,90,1,0,2000,5,1280
116,21950,8,10841,,90,1,0,2000,5,1270
117,17900,,1,Petrol,110,1,0,1600,3,1105
118,19250,20,63000,Diesel,90,1,0,2000,5,1255
119,22250,,57313,,110,1,0,2000,5,1275
120,18950,13,57037,Petrol,110,0,0,1600,5,1115
121,19950,19,51099,,90,1,0,2000,5,1255
122,16350,14,40010,Petrol,110,1,0,1600,5,1115
123,18950,20,39115,Petrol,110,1,0,1600,5,1130
124,16950,17,36012,,110,0,0,1600,5,1130
125,21750,16,??,Petrol,110,1,0,1600,5,1130
126,15950,20,36000,Petrol,110,1,0,1600,5,1075
127,16500,20,35000,Petrol,97,1,0,1400,5,1110
128,17950,17,33740,Petrol,97,1,0,1400,5,1135
129,15850,13,33477,Petrol,110,1,0,1600,5,1075
130,16250,20,32627,Petrol,97,1,0,1400,5,1110
131,15950,20,??,Petrol,97,1,0,1400,5,1110
132,16250,19,29441,Petrol,97,1,0,1400,5,1110
133,15950,13,29371,Petrol,110,1,0,1600,4,1105
134,16500,20,29000,Petrol,97,0,0,1400,5,1110
135,16500,19,27821,Petrol,97,0,0,1400,5,1110
136,18450,19,27371,Petrol,97,0,0,1400,5,1135
137,16250,13,25170,Petrol,110,1,0,1600,5,1105
138,23000,11,25000,Diesel,116,1,0,2000,5,1320
139,19900,20,23000,Petrol,110,1,0,1600,5,1130
140,16450,20,22588,Petrol,97,1,0,1400,5,1110
141,23950,19,21684,Petrol,192,1,0,1800,5,1185
142,19950,13,21428,Petrol,110,1,0,1600,5,1130
143,18500,16,20629,Petrol,110,1,0,1600,4,1090
144,18950,15,20270,Petrol,110,,0,1600,5,1130
145,16450,16,20105,Petrol,97,0,0,1400,5,1110
146,20500,20,20000,Petrol,110,0,1,1600,5,1165
147,24500,13,19988,Petrol,110,1,0,1600,5,1130
148,19450,19,18328,Petrol,110,0,0,1600,5,1130
149,20950,14,17896,Petrol,110,1,1,1600,4,1150
150,17200,20,17300,Petrol,97,1,0,1400,5,1110
151,19950,19,17038,Petrol,110,0,0,1600,5,1130
152,18450,10,13747,Petrol,97,1,0,1400,5,1110
153,19500,12,13634,Petrol,110,1,0,1600,5,1115
154,21750,13,13178,Petrol,110,1,0,1600,5,1130
155,16868,15,13157,,97,1,0,1400,4,1085
156,19500,16,13000,,110,1,0,1600,4,1105
157,18900,11,12500,Petrol,110,1,0,1600,5,1115
158,19750,17,11999,Petrol,110,1,0,1600,5,1130
159,19750,16,11754,Petrol,110,0,1,1600,5,1180
160,18950,16,11000,,110,,0,1600,4,1105
161,20750,17,10000,Petrol,110,0,0,1598,5,1105
162,19600,9,7650,Petrol,110,1,0,1600,5,1115
163,19500,14,6500,,110,,0,1600,4,1100
164,17650,11,6155,Petrol,97,1,0,1400,5,1110
165,19950,14,6000,Petrol,110,0,0,1600,5,1130
166,19950,14,5459,Petrol,110,1,0,1600,5,1130
167,20950,14,5278,Petrol,110,1,1,1600,four,1150
168,20500,12,5000,Petrol,110,1,0,1600,5,1130
169,17795,9,1,Petrol,98,1,0,1400,4,1065
170,18245,9,1,Petrol,110,1,0,1600,5,1075
171,23750,8,11000,Petrol,110,1,0,1600,5,1130
172,19500,8,10077,Petrol,97,1,0,1400,5,1110
173,18950,8,10000,Petrol,97,1,0,1400,5,1110
174,21950,8,9788,Petrol,110,1,0,1600,5,1130
175,19950,8,8574,Petrol,110,1,0,1600,5,1130
176,18950,8,7000,Petrol,110,0,0,1600,5,1115
177,19950,7,6250,Petrol,110,1,0,1600,5,1115
178,21950,8,5000,Petrol,110,1,0,1600,5,1130
179,22500,6,3000,Petrol,110,0,0,1600,5,1130
180,18500,7,2000,Petrol,110,0,0,1600,5,1075
181,18700,7,450,Petrol,97,1,0,1400,5,1110
182,21125,2,225,Petrol,97,1,0,1400,5,1110
183,21500,,15,Petrol,110,1,0,1600,5,1130
184,17795,1,1,Petrol,98,1,0,1400,4,1100
185,18245,1,1,Petrol,110,1,0,1600,5,1075
186,6950,43,243000,Diesel,69,0,0,1900,3,1110
187,9500,38,180638,Diesel,90,0,0,2000,4,1160
188,11950,40,179860,Diesel,90,1,0,2000,5,1205
189,7750,43,178858,CNG,110,0,0,1600,3,1084
190,11950,40,161000,Diesel,69,1,0,1900,3,1105
191,4350,44,158320,Diesel,69,0,0,1800,5,1110
192,4750,44,131273,Diesel,69,1,0,1800,5,1110
193,11750,40,130062,Diesel,69,1,0,1900,5,1140
194,13250,41,123425,Diesel,69,1,0,1900,5,1140
195,11950,37,118217,Petrol,110,1,0,1600,5,1075
196,11900,44,110000,Diesel,69,1,0,1900,5,1095
197,14750,39,108847,Diesel,90,1,0,2000,5,1205
198,9950,42,105699,Petrol,97,1,0,1400,3,1025
199,11950,,98823,CNG,110,1,0,1600,5,1119
200,11495,44,96829,Petrol,110,,0,1600,5,1075
201,11250,40,96518,Petrol,97,1,0,1400,3,1025
202,10500,42,92204,Petrol,110,1,0,1600,5,1075
203,10450,35,91456,Diesel,69,1,0,1900,3,1110
204,12950,43,89968,Diesel,69,1,0,1900,5,1140
205,11500,44,89757,Petrol,110,1,0,1600,3,1045
206,12500,40,85389,Petrol,110,1,0,1600,5,1075
207,10950,43,85017,,97,0,0,1400,5,1060
208,11450,41,84312,Petrol,110,0,0,1600,5,1080
209,11950,37,82743,CNG,110,1,0,1600,5,1121
210,13250,41,81106,Diesel,69,1,0,1900,5,1140
211,14750,40,80425,Diesel,90,1,0,2000,5,1205
212,11790,34,78677,Petrol,110,1,1,1600,5,1105
213,11450,40,78425,Petrol,110,,0,1600,5,1075
214,13500,33,78108,Diesel,90,1,0,2000,3,1170
215,10950,33,77321,Petrol,110,1,0,1600,5,1075
216,13500,33,75699,Diesel,69,0,0,1900,3,1105
217,10950,41,75697,Petrol,97,1,0,1400,3,1025
218,10950,44,74846,Petrol,97,,0,1400,3,1025
219,12950,38,74319,Petrol,110,1,0,1600,5,1075
220,11950,,74285,Petrol,110,1,0,1600,5,1075
221,12450,44,74172,Petrol,110,1,0,1600,5,1615
222,11950,40,73042,Petrol,110,1,0,1598,5,1075
223,14950,44,71793,CNG,110,,0,1600,4,1067
224,12450,35,71200,Petrol,110,1,0,1600,5,1075
225,12950,38,67805,Petrol,110,1,0,1600,5,1075
226,11950,,65988,Petrol,110,,0,1600,3,1040
227,11690,,65345,Petrol,97,1,0,1400,5,1060
228,12450,42,64564,Petrol,110,1,0,1600,5,1080
229,12750,36,63459,Petrol,97,1,0,1400,5,1060
230,11925,,63451,Petrol,97,0,0,1400,3,1025
231,12950,33,62000,Petrol,110,1,0,1600,5,1075
232,11950,42,61300,Petrol,97,1,0,1400,3,1030
233,12900,41,61200,Petrol,110,1,0,1600,3,1045
234,11900,41,61000,Petrol,110,0,0,1600,5,1075
235,11650,38,60829,Petrol,110,,0,1600,5,1075
236,10950,44,60500,Petrol,110,0,0,1600,5,1075
237,13950,35,59500,Diesel,69,,0,1900,3,1110
238,13950,44,59000,Petrol,110,0,1,1600,5,1110
239,11950,40,58954,Petrol,110,1,0,1600,5,1080
240,10950,38,58798,Petrol,110,1,0,1600,5,1075
241,12450,38,58363,Petrol,110,1,0,1600,3,1055
242,11950,43,58277,Petrol,110,,0,1600,3,1045
243,13500,33,57711,Diesel,90,1,0,2000,3,1165
244,11690,33,57269,Petrol,110,1,0,1600,5,1075
245,13500,39,56001,Petrol,110,1,0,1600,5,1075
246,11950,42,55968,Petrol,110,,0,1600,3,1050
247,12900,,55678,Petrol,110,1,0,1600,4,1030
248,13500,43,55539,Petrol,110,1,0,1600,5,1085
249,11750,42,55400,Petrol,110,0,0,1600,5,1075
250,11750,33,55350,Petrol,110,0,0,1600,5,1075
251,10850,43,54600,Petrol,110,0,0,1600,4,1030
252,11750,43,53773,Petrol,110,1,0,1600,5,1075
253,14950,42,53719,Petrol,110,1,1,1600,5,1105
254,9940,39,53644,Petrol,110,1,0,1600,5,1075
255,12900,42,53350,Petrol,110,0,0,1600,5,1075
256,13500,38,53000,Petrol,110,1,0,1600,5,1075
257,11750,44,52084,Petrol,97,1,0,1400,3,1025
258,11950,44,52000,Petrol,97,0,0,1400,3,1025
259,13450,33,51945,Petrol,110,1,0,1600,5,1075
260,11950,41,51732,Petrol,97,1,0,1400,3,1025
261,12495,39,50873,Petrol,110,,0,1600,5,1075
262,13500,41,50856,Petrol,110,0,0,1600,4,1030
263,12750,40,50640,Petrol,110,1,0,1600,5,1075
264,12000,39,50000,Petrol,97,1,0,1400,5,1060
265,11950,38,49500,Petrol,110,1,0,1600,5,1075
266,12495,44,49332,Petrol,110,1,0,1600,5,1080
267,12450,34,49291,Petrol,110,1,0,1600,3,1040
268,14750,40,48952,Diesel,90,1,0,2000,5,1205
269,10950,39,48945,Petrol,110,0,0,1600,3,1040
270,13500,33,48928,Diesel,69,,0,1900,3,1105
271,12950,38,48197,Petrol,110,1,0,1600,5,1075
272,13500,35,48052,Diesel,69,,0,1900,3,1105
273,13450,,48011,Petrol,110,1,0,1600,4,1030
274,13500,43,48000,Petrol,110,1,0,1600,5,1075
275,11480,41,47350,Petrol,110,1,0,1600,5,1075
276,13450,39,46821,Petrol,97,1,0,1400,5,1060
277,11495,39,46694,Petrol,110,0,0,1600,3,1040
278,12750,43,46515,Petrol,97,0,0,1400,5,1025
279,14990,38,46327,Petrol,110,1,0,1600,3,1055
280,12950,35,46304,Petrol,97,1,0,1400,5,1060
281,12950,40,45886,Petrol,110,1,0,1600,5,1080
282,12850,39,45713,Petrol,97,1,0,1400,5,1085
283,13950,40,45600,Petrol,110,1,1,1600,5,1105
284,11950,41,45287,Petrol,110,1,0,1600,5,1075
285,12950,39,45081,Petrol,110,1,0,1600,5,1075
286,11700,40,44830,Petrol,110,,0,1600,5,1075
287,9950,37,44757,Petrol,97,,0,1400,3,1025
288,11895,44,44218,Petrol,97,1,0,1400,5,1060
289,12950,43,43632,Petrol,110,1,0,1600,5,1075
290,12500,36,43427,Petrol,110,1,0,1600,3,1040
291,13875,39,43254,Petrol,110,1,0,1600,5,1075
292,10500,35,43000,Petrol,110,0,0,1600,3,1050
293,12295,33,42823,Petrol,110,1,0,1600,5,1075
294,13950,42,42560,Petrol,110,1,0,1600,5,1080
295,10950,38,41754,Petrol,110,0,0,1600,3,1040
296,12950,44,41499,CNG,110,1,0,1600,5,1103
297,12850,40,41339,Petrol,110,1,0,1600,5,1080
298,13995,35,41000,Petrol,110,1,0,1600,5,1075
299,13750,39,40000,Petrol,110,1,0,1600,3,1055
300,12750,37,39757,Petrol,110,1,0,1600,5,1075
301,12500,41,39659,Petrol,110,,0,1600,3,1045
302,13950,43,39650,Petrol,110,0,0,1600,3,1055
303,11500,39,39524,Petrol,97,,0,1398,3,1025
304,13950,44,39516,Petrol,97,1,0,1400,5,1060
305,11895,41,39439,Petrol,97,0,0,1400,5,1060
306,9950,44,39000,Petrol,97,1,0,1400,3,1025
307,13500,42,38932,Petrol,110,1,0,1600,3,1040
308,11450,37,38812,Petrol,97,,0,1400,3,1025
309,12450,42,38665,Petrol,110,1,0,1600,5,1075
310,12950,40,38653,Petrol,110,1,0,1600,5,1080
311,13995,44,38461,Petrol,110,,0,1600,5,1080
312,11750,42,38078,Petrol,97,0,0,1400,3,1025
313,11650,39,37782,Petrol,97,1,0,1400,5,1060
314,9950,43,37576,Petrol,97,0,0,1400,3,1030
315,13950,41,37533,Petrol,110,1,0,1600,5,1075
316,12950,44,37389,Petrol,110,1,0,1600,5,1080
317,10950,38,37320,Petrol,97,1,0,1400,3,1025
318,9900,42,37000,Petrol,97,1,0,1400,3,1025
319,11950,44,37000,Petrol,110,0,0,1600,4,1075
320,11990,40,36566,Petrol,110,0,0,1600,5,1090
321,10750,36,36269,,110,1,0,1600,5,1075
322,13950,37,36074,Petrol,110,1,1,1600,5,1075
323,11250,44,36066,Petrol,110,1,0,1600,3,1040
324,12950,39,34599,Petrol,110,1,0,1600,five,1075
325,11950,41,34000,Petrol,110,1,0,1600,5,1075
326,10950,42,33623,Petrol,97,1,0,1400,3,1025
327,12950,33,33591,Petrol,110,1,0,1600,5,1075
328,12950,35,33258,Petrol,110,,0,1600,5,1075
329,11695,43,33113,,110,1,0,1600,5,1075
330,11000,41,33000,Petrol,110,1,1,1600,5,1075
331,13950,,32941,Petrol,110,1,0,1600,5,1080
332,11950,38,32781,,110,0,0,1600,5,1075
333,11750,40,32532,,110,1,0,1600,3,1040
334,12400,34,32431,,97,1,0,1400,5,1060
335,12500,35,32000,Petrol,110,0,0,1600,3,1040
336,12900,33,31000,Petrol,110,1,0,1600,5,1075
337,12200,41,30989,Petrol,110,0,0,1600,3,1045
338,12750,43,30742,Petrol,110,1,0,1600,3,1040
339,11950,42,30190,Petrol,110,1,0,1600,5,1075
340,11900,41,29716,Petrol,116,1,0,1600,5,1075
341,11950,44,29716,,110,1,1,1600,3,1070
342,14950,42,29640,Petrol,110,,0,1600,3,1055
343,11950,41,29056,Petrol,97,1,0,1400,5,1060
344,12950,33,28715,Petrol,110,1,0,1600,5,1075
345,14950,41,28571,Petrol,110,0,0,1600,5,1090
346,13450,40,28362,Petrol,110,1,0,1600,3,1040
347,13750,38,28150,Petrol,110,,0,1600,5,1075
348,12950,43,27301,,110,1,0,1600,3,1040
349,12750,33,27240,Petrol,110,1,0,1600,5,1075
350,11895,39,27170,Petrol,97,1,0,1400,5,1060
351,9950,42,27141,Petrol,97,1,0,1400,5,1060
352,12450,38,26262,Petrol,110,1,0,1600,5,1075
353,12500,38,26000,Petrol,97,1,0,1400,5,1060
354,14950,43,25228,Petrol,110,1,0,1600,3,1045
355,13750,39,25062,Petrol,110,,0,1600,5,1080
356,12695,39,24723,Petrol,110,1,1,1600,4,1060
357,14990,,24650,Petrol,110,1,0,1600,3,1055
358,12750,43,24553,Petrol,110,1,0,1600,5,1080
359,14350,41,24475,Petrol,110,,0,1600,5,1030
360,12950,39,24444,Petrol,110,,0,1600,3,1040
361,11500,35,24011,Petrol,97,0,0,1400,3,1025
362,11950,41,24000,Petrol,97,1,0,1400,3,1025
363,13450,40,23616,Petrol,110,1,0,1600,5,1075
364,12900,38,22865,Petrol,110,1,0,1600,5,1075
365,10500,41,22780,Petrol,86,,0,1300,5,1035
366,10950,35,21904,Petrol,97,0,0,1400,3,1025
367,11950,41,21651,Petrol,97,0,0,1400,3,1025
368,11450,37,21500,Petrol,110,1,0,1600,5,1030
369,13250,44,21027,Petrol,110,1,0,1600,5,1080
370,10250,39,18500,Petrol,110,0,0,1600,4,1030
371,13995,35,18000,Petrol,110,1,0,1600,5,1075
372,11950,40,17051,,97,0,0,1400,5,1060
373,13250,33,16512,Petrol,97,1,0,1400,5,1085
374,12950,40,16325,Petrol,110,1,0,1600,5,1080
375,11750,38,16000,Petrol,97,1,0,1400,5,1060
376,11500,39,12000,Petrol,110,1,0,1600,5,1075
377,13500,43,10000,Petrol,97,1,0,1400,5,1060
378,6500,53,216000,Diesel,69,0,0,1900,3,1110
379,6400,51,198167,Diesel,69,0,0,1900,4,1095
380,7000,53,176000,Diesel,69,0,0,1900,3,1105
381,7750,54,174139,Diesel,72,1,0,2000,4,1100
382,8900,45,174000,Diesel,69,,0,1900,5,1095
383,8500,55,150000,CNG,110,1,0,1600,3,1075
384,8950,54,149329,Diesel,72,1,0,2000,5,1135
385,9900,51,146736,Petrol,110,1,0,1600,5,1080
386,10250,53,143513,Diesel,69,0,0,1900,5,1140
387,9250,48,142130,CNG,110,0,0,1600,5,1119
388,7750,48,140700,Diesel,69,1,0,1900,5,1110
389,9450,,138394,Diesel,69,1,0,1900,4,1095
390,7750,55,137000,Diesel,72,,0,2000,5,1135
391,8250,52,135258,Diesel,69,1,0,1900,5,1140
392,9950,49,131364,Petrol,110,1,0,1600,5,1075
393,4450,56,129155,Diesel,69,0,0,1800,5,1110
394,9950,50,126110,Petrol,110,0,0,1600,3,1055
395,9000,48,119742,,110,1,0,1600,5,1080
396,9950,53,117913,Diesel,69,1,0,1900,5,1110
397,12450,47,117430,Diesel,90,,0,2000,3,1165
398,10500,55,??,Petrol,110,1,0,1600,4,1035
399,10750,54,115558,Petrol,110,1,0,1600,4,1035
400,8950,53,115113,Petrol,97,1,0,1400,3,1025
401,10500,54,115046,Diesel,69,1,0,1900,5,1140
402,5150,56,113997,Diesel,72,1,0,2000,5,1135
403,10950,49,107859,Petrol,97,0,0,1400,5,1060
404,9450,,104805,Petrol,97,1,0,1400,3,1025
405,9950,54,103454,Petrol,110,1,0,1600,5,1075
406,10950,51,103018,,69,0,0,1900,5,1140
407,11900,47,102352,,110,1,0,1600,5,1080
408,9950,50,102030,Petrol,97,1,0,1400,5,1060
409,11950,54,101352,Petrol,110,0,0,1600,5,1080
410,7900,50,99865,Petrol,110,1,0,1600,4,1035
411,10950,52,99323,Petrol,110,,0,1600,3,1055
412,8950,48,98100,,69,1,0,1900,5,1140
413,11950,51,98040,Petrol,110,0,0,1600,5,1080
414,10900,49,97600,Petrol,110,1,0,1600,3,1045
415,9950,55,97234,Petrol,110,0,0,1600,5,1080
416,9950,51,96135,Diesel,72,0,0,2000,3,1115
417,10950,54,96100,Petrol,110,1,0,1600,5,1080
418,8950,55,94401,Diesel,72,0,0,2000,3,1115
419,8950,55,94122,Petrol,86,1,0,1300,3,1015
420,10500,49,91340,,110,1,0,1600,3,1055
421,8950,53,90200,Petrol,97,0,0,1400,3,1025
422,9250,53,90097,Diesel,69,1,0,1900,5,1140
423,11500,48,89049,Petrol,97,1,0,1400,5,1060
424,9750,52,89000,Petrol,110,0,0,1600,5,1075
425,9950,45,87274,Petrol,110,1,0,1600,3,1040
426,11450,49,86221,Petrol,110,0,0,1600,3,1045
427,12500,54,84598,Petrol,110,0,0,1600,5,1075
428,10500,50,83567,Petrol,110,0,0,1600,5,1075
429,12950,50,83106,,110,1,0,1600,5,1075
430,12200,50,82805,Petrol,110,1,0,1600,3,1040
431,10950,50,82735,Petrol,97,1,0,1400,3,1030
432,10950,54,81905,Petrol,110,1,0,1600,5,1105
433,11290,49,80320,Petrol,110,1,1,1600,3,1070
434,10750,49,80090,Petrol,97,1,0,1400,3,1030
435,10895,53,79800,Petrol,110,0,0,1600,5,1075
436,11500,47,78785,CNG,110,1,0,1600,5,1119
437,9750,48,78600,Petrol,110,1,0,1600,5,1075
438,10250,55,77780,Petrol,110,,0,1600,3,1040
439,12500,49,77648,Petrol,110,0,0,1600,4,1030
440,11950,54,77270,,110,1,0,1600,4,1035
441,10750,50,76167,Petrol,97,1,0,1400,5,1060
442,11450,46,75249,Petrol,110,1,0,1600,4,1035
443,11950,54,75231,Petrol,110,1,0,1600,5,1080
444,11750,48,75045,Petrol,110,1,0,1600,3,1055
445,10950,50,74849,Petrol,110,1,1,1600,4,1060
446,11950,55,74715,Petrol,110,1,0,1600,5,1080
447,10995,49,74656,Diesel,69,0,0,1900,3,1105
448,11450,56,74500,Petrol,97,0,0,1400,3,1025
449,8900,49,74494,Petrol,110,1,0,1600,5,1075
450,10500,50,73634,Petrol,110,0,0,1587,5,1075
451,11750,47,73403,Petrol,110,1,0,1600,5,1075
452,11450,49,73175,Petrol,97,1,0,1400,3,1030
453,12000,,73000,Petrol,110,0,0,1600,3,1055
454,11950,50,72242,Petrol,110,,1,1600,3,1070
455,9850,53,72000,Petrol,97,1,0,1400,3,1025
456,10950,,71725,Petrol,110,1,0,1600,4,1035
457,10950,,71276,Petrol,110,0,0,1600,5,1080
458,8695,,70440,Diesel,69,1,0,1900,3,1105
459,10990,53,70239,Petrol,110,0,0,1600,3,1040
460,9500,55,69813,Petrol,97,1,0,1400,3,1025
461,11950,49,69659,Petrol,86,0,0,1300,3,1025
462,10750,46,69574,Petrol,97,0,0,1400,5,1065
463,8750,47,69000,Diesel,69,1,0,1900,5,1140
464,8750,49,68565,Petrol,110,,0,1600,4,1030
465,11450,,68520,Diesel,72,1,0,2000,3,1115
466,9950,46,68414,Petrol,97,0,0,1400,3,1025
467,11950,56,66777,Petrol,110,0,0,1600,5,1090
468,13950,52,66527,Petrol,110,1,0,1600,5,1080
469,11250,54,66063,Petrol,110,1,0,1600,5,1090
470,10900,50,65471,Petrol,97,1,0,1400,5,1060
471,9750,56,65400,Petrol,97,1,0,1400,3,1025
472,9950,52,65170,Petrol,97,1,0,1400,3,1025
473,11950,56,65000,Petrol,110,1,0,1600,5,1075
474,10450,48,64193,Petrol,110,,0,1600,3,1040
475,8950,54,64000,Petrol,97,1,0,1400,3,1025
476,10250,54,63792,Petrol,110,1,0,1600,5,1075
477,9930,53,63635,Petrol,110,1,0,1600,4,1035
478,10500,54,63135,Petrol,110,1,0,1600,3,1050
479,11950,54,63123,Petrol,110,1,0,1600,4,1035
480,11500,,63000,Diesel,69,1,0,1900,5,1140
481,11500,,63000,Petrol,110,0,0,1600,4,1035
482,11450,54,62987,Petrol,110,0,0,1600,5,1080
483,9900,56,62751,Petrol,110,0,0,1600,3,1050
484,9500,54,62519,Petrol,97,0,0,1400,3,1025
485,10500,50,62280,Petrol,97,,0,1400,5,1060
486,10750,50,61672,Petrol,110,,0,1600,5,1075
487,8950,54,61000,Diesel,69,0,0,2000,5,1140
